2025-03-09 15:19:57,612 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-03-18 03:55:39,233 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-03-18 03:56:00,778 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-03-18 03:56:13,144 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-03-18 03:56:16,135 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-03-18 03:59:05,146 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-03-18 04:01:48,500 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-03-18 04:01:53,724 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-03-18 04:01:57,177 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-03-18 04:02:15,598 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-03-18 04:03:22,095 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-03-18 04:03:25,012 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-03-18 04:04:35,223 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
